t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),country,state,city
2020-04-06,2020-04-12,1.2846573035572193,0.012213800841411491,1.2608288681861899,1.2646336222658168,1.3048130182419737,1.284618596442753,1.3048130182419737,1.3048130182419737,1.3087057080205649,Brazil,,
2020-04-07,2020-04-13,1.223059727768821,0.011520881461250396,1.2005821785078712,1.204171461573407,1.242071387723747,1.2230235534625054,1.242071387723747,1.242071387723747,1.2457428524027259,Brazil,,
2020-04-08,2020-04-14,1.154286239378833,0.010892886473533732,1.133034103077596,1.136427666120793,1.1722616930868908,1.1542519745245086,1.1722616930868908,1.1722616930868908,1.1757330998059887,Brazil,,
2020-04-09,2020-04-15,1.1943405872008594,0.010834831974789624,1.1731979566613777,1.176574929409974,1.2122180048307685,1.1943078235116613,1.2122180048307685,1.2122180048307685,1.215669410893991,Brazil,,
2020-04-10,2020-04-16,1.1698750432901086,0.010533859083880229,1.149319042288931,1.1526024776856734,1.1872554551717787,1.169843426906605,1.1872554551717787,1.1872554551717787,1.1906107174107208,Brazil,,
2020-04-11,2020-04-17,1.287317174791634,0.010862372495988953,1.266114261294989,1.2695024216594037,1.3052361437505275,1.2872866227151383,1.3052361437505275,1.3052361437505275,1.308693713066518,Brazil,,
2020-04-12,2020-04-18,1.4083928805736836,0.01115805948032508,1.3866073344724041,1.3900899000430622,1.4267963744152936,1.4083634139312466,1.4267963744152936,1.4267963744152936,1.4303458830442433,Brazil,,
2020-04-13,2020-04-19,1.3865717348103939,0.010806569572520163,1.3654711327307902,1.3688445205836108,1.404394713299619,1.3865436604063024,1.404394713299619,1.404394713299619,1.4078318812937831,Brazil,,
2020-04-14,2020-04-20,1.3643421846169708,0.010368706965465565,1.3440946306649444,1.3473320956317316,1.3814418711385088,1.364315918059755,1.3814418711385088,1.3814418711385088,1.3847390091414,Brazil,,
2020-04-15,2020-04-21,1.305664731134187,0.00978142649648766,1.2865629869343214,1.289617483391969,1.3217952976618195,1.3056403052654275,1.3217952976618195,1.3217952976618195,1.3249052854360575,Brazil,,
2020-04-16,2020-04-22,1.1929800383888665,0.009034098890777062,1.1753384160062474,1.1781592631848816,1.207878600532728,1.192957234244962,1.207878600532728,1.207878600532728,1.210751254749239,Brazil,,
2020-04-17,2020-04-23,1.2644375634885217,0.0090289333457989,1.2468023237123953,1.2496230335930234,1.2793254004498942,1.264416072670947,1.2793254004498942,1.2793254004498942,1.2821949337322553,Brazil,,
2020-04-18,2020-04-24,1.2534362394248306,0.00878399399761943,1.2362783060052505,1.2390229359892206,1.2679195354707433,1.253415720278193,1.2679195354707433,1.2679195354707433,1.2707107813924359,Brazil,,
2020-04-19,2020-04-25,1.3338805394621485,0.008859718314851375,1.3165716146130266,1.3193411315329888,1.3484868577542681,1.3338609239116097,1.3484868577542681,1.3484868577542681,1.3513009378073098,Brazil,,
2020-04-20,2020-04-26,1.369531928355277,0.008759097795952745,1.352417533527112,1.3551564132449592,1.383971140198648,1.369513254917383,1.383971140198648,1.383971140198648,1.386752442738206,Brazil,,
2020-04-21,2020-04-27,1.4119357460275248,0.008640259252314729,1.3950512839349636,1.3977539070732918,1.4261777036379717,1.4119181215441423,1.4261777036379717,1.4261777036379717,1.4289203665602115,Brazil,,
2020-04-22,2020-04-28,1.4917756448295787,0.00859032202385985,1.4749858247124106,1.4776740010272997,1.505933533917623,1.491759155869432,1.505933533917623,1.505933533917623,1.5086591703099757,Brazil,,
2020-04-23,2020-04-29,1.558269316503125,0.008459739485278265,1.5417320748091292,1.5443804425776924,1.572210411081433,1.5582540074106588,1.572210411081433,1.572210411081433,1.5748935584763584,Brazil,,
2020-04-24,2020-04-30,1.5680674248689306,0.008135301143914194,1.5521625415056748,1.5547100833901066,1.5814727566441913,1.5680533559545276,1.5814727566441913,1.5814727566441913,1.5840522606868404,Brazil,,
2020-04-25,2020-05-01,1.4652100017317615,0.007500594576667386,1.4505455075773637,1.4528944890343132,1.477569172287115,1.4651972029221323,1.477569172287115,1.477569172287115,1.479947230443098,Brazil,,
